date,iso_code,nuts2,name,supplier,administered
2021-01-05,ES-AN,ES61,Andalucía,Pfizer/BioNTech,40263
2021-01-05,ES-AR,ES24,Aragón,Pfizer/BioNTech,2985
2021-01-05,ES-AS,ES12,Asturias,Pfizer/BioNTech,12929
2021-01-05,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,2656
2021-01-05,ES-CN,ES70,Canarias,Pfizer/BioNTech,5857
2021-01-05,ES-CB,ES13,Cantabria,Pfizer/BioNTech,601
2021-01-05,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,16430
2021-01-05,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,4092
2021-01-05,ES-CT,ES51,Cataluña,Pfizer/BioNTech,11191
2021-01-05,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,8586
2021-01-05,ES-EX,ES43,Extremadura,Pfizer/BioNTech,1806
2021-01-05,ES-GA,ES11,Galicia,Pfizer/BioNTech,12012
2021-01-05,ES-RI,ES23,La Rioja,Pfizer/BioNTech,585
2021-01-05,ES-MD,ES30,Madrid,Pfizer/BioNTech,5335
2021-01-05,ES-MC,ES62,Murcia,Pfizer/BioNTech,4949
2021-01-05,ES-NC,ES22,Navarra,Pfizer/BioNTech,2651
2021-01-05,ES-PV,ES21,País Vasco,Pfizer/BioNTech,5553
2021-01-05,ES-CE,ES63,Ceuta,Pfizer/BioNTech,517
2021-01-05,ES-ML,ES64,Melilla,Pfizer/BioNTech,341
2021-01-07,ES-AN,ES61,Andalucía,Pfizer/BioNTech,53934
2021-01-07,ES-AR,ES24,Aragón,Pfizer/BioNTech,6186
2021-01-07,ES-AS,ES12,Asturias,Pfizer/BioNTech,14406
2021-01-07,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,3190
2021-01-07,ES-CN,ES70,Canarias,Pfizer/BioNTech,7330
2021-01-07,ES-CB,ES13,Cantabria,Pfizer/BioNTech,1564
2021-01-07,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,22103
2021-01-07,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,7666
2021-01-07,ES-CT,ES51,Cataluña,Pfizer/BioNTech,24515
2021-01-07,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,11677
2021-01-07,ES-EX,ES43,Extremadura,Pfizer/BioNTech,3309
2021-01-07,ES-GA,ES11,Galicia,Pfizer/BioNTech,20265
2021-01-07,ES-RI,ES23,La Rioja,Pfizer/BioNTech,858
2021-01-07,ES-MD,ES30,Madrid,Pfizer/BioNTech,11337
2021-01-07,ES-MC,ES62,Murcia,Pfizer/BioNTech,7287
2021-01-07,ES-NC,ES22,Navarra,Pfizer/BioNTech,2960
2021-01-07,ES-PV,ES21,País Vasco,Pfizer/BioNTech,7734
2021-01-07,ES-CE,ES63,Ceuta,Pfizer/BioNTech,576
2021-01-07,ES-ML,ES64,Melilla,Pfizer/BioNTech,426
2021-01-08,ES-AN,ES61,Andalucía,Pfizer/BioNTech,69445
2021-01-08,ES-AR,ES24,Aragón,Pfizer/BioNTech,9944
2021-01-08,ES-AS,ES12,Asturias,Pfizer/BioNTech,17843
2021-01-08,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,4257
2021-01-08,ES-CN,ES70,Canarias,Pfizer/BioNTech,9572
2021-01-08,ES-CB,ES13,Cantabria,Pfizer/BioNTech,2334
2021-01-08,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,28325
2021-01-08,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,12380
2021-01-08,ES-CT,ES51,Cataluña,Pfizer/BioNTech,38826
2021-01-08,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,15965
2021-01-08,ES-EX,ES43,Extremadura,Pfizer/BioNTech,4727
2021-01-08,ES-GA,ES11,Galicia,Pfizer/BioNTech,24750
2021-01-08,ES-RI,ES23,La Rioja,Pfizer/BioNTech,1674
2021-01-08,ES-MD,ES30,Madrid,Pfizer/BioNTech,14152
2021-01-08,ES-MC,ES62,Murcia,Pfizer/BioNTech,8958
2021-01-08,ES-NC,ES22,Navarra,Pfizer/BioNTech,3703
2021-01-08,ES-PV,ES21,País Vasco,Pfizer/BioNTech,9811
2021-01-08,ES-CE,ES63,Ceuta,Pfizer/BioNTech,637
2021-01-08,ES-ML,ES64,Melilla,Pfizer/BioNTech,673
2021-01-11,ES-AN,ES61,Andalucía,Pfizer/BioNTech,81387
2021-01-11,ES-AR,ES24,Aragón,Pfizer/BioNTech,10998
2021-01-11,ES-AS,ES12,Asturias,Pfizer/BioNTech,18943
2021-01-11,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,4652
2021-01-11,ES-CN,ES70,Canarias,Pfizer/BioNTech,13607
2021-01-11,ES-CB,ES13,Cantabria,Pfizer/BioNTech,8474
2021-01-11,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,36205
2021-01-11,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,19209
2021-01-11,ES-CT,ES51,Cataluña,Pfizer/BioNTech,68405
2021-01-11,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,45674
2021-01-11,ES-EX,ES43,Extremadura,Pfizer/BioNTech,9303
2021-01-11,ES-GA,ES11,Galicia,Pfizer/BioNTech,30418
2021-01-11,ES-RI,ES23,La Rioja,Pfizer/BioNTech,3457
2021-01-11,ES-MD,ES30,Madrid,Pfizer/BioNTech,24897
2021-01-11,ES-MC,ES62,Murcia,Pfizer/BioNTech,10361
2021-01-11,ES-NC,ES22,Navarra,Pfizer/BioNTech,5468
2021-01-11,ES-PV,ES21,País Vasco,Pfizer/BioNTech,13103
2021-01-11,ES-CE,ES63,Ceuta,Pfizer/BioNTech,698
2021-01-11,ES-ML,ES64,Melilla,Pfizer/BioNTech,832
2021-01-12,ES-AN,ES61,Andalucía,Pfizer/BioNTech,94879
2021-01-12,ES-AR,ES24,Aragón,Pfizer/BioNTech,11983
2021-01-12,ES-AS,ES12,Asturias,Pfizer/BioNTech,22428
2021-01-12,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,4835
2021-01-12,ES-CN,ES70,Canarias,Pfizer/BioNTech,15328
2021-01-12,ES-CB,ES13,Cantabria,Pfizer/BioNTech,9527
2021-01-12,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,41340
